../DDBJ/1772-062-248_B01.2.fastq.bz2	Input file name.
04-10-2015; 3:55pm	Date and Time
20.000000	selected threshold
2469863	total input reads
2180248	successfully extracted
88.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3100	low complexity
286515	match artifacts:
47627	Nextera_501
212216	Nextera_502
43	Nextera_503
17	Nextera_504
11	Nextera_505
21	Nextera_506
3	Nextera_507
3	Nextera_508
34	Nextera_701
1	Nextera_508_Reversed:
1	rRNA_5.8S
5357	rRNA_18S
304	rRNA_28S
15112	EC2_RNA_SPIKE_1_(750_bp)
973	EC15_RNA_SPIKE_4_(1000_bp)
8	EC18_RNA_SPIKE_7_(1474bp)
3488	HPV18
1296	HPV18_as
