../DDBJ/1772-062-248_C04.2.fastq.bz2	Input file name.
04-10-2015; 4:43pm	Date and Time
20.000000	selected threshold
1727970	total input reads
1520037	successfully extracted
88.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3134	low complexity
204799	match artifacts:
35220	Nextera_501
6197	Nextera_502
141081	Nextera_503
3	Nextera_504
4	Nextera_505
6	Nextera_506
2	Nextera_507
558	Nextera_508
33	Nextera_701
1	Nextera_501_Reversed:
1	Nextera_502_Reversed:
2	Nextera_503_Reversed:
1	Nextera_504_Reversed:
1	Nextera_506_Reversed:
1	rRNA_5.8S
2244	rRNA_18S
141	rRNA_28S
8913	EC2_RNA_SPIKE_1_(750_bp)
649	EC15_RNA_SPIKE_4_(1000_bp)
6	EC18_RNA_SPIKE_7_(1474bp)
7095	HPV18
2640	HPV18_as
