../DDBJ/1772-062-249_H05.1.fastq.bz2	Input file name.
04-11-2015;12:18am	Date and Time
20.000000	selected threshold
1133619	total input reads
1041361	successfully extracted
91.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5054	low complexity
87204	match artifacts:
1	Nextera_501
12808	Nextera_701
4	Nextera_702
84	Nextera_703
5	Nextera_704
51508	Nextera_705
3	Nextera_706
1	Nextera_707
7	Nextera_709
6	Nextera_711
6	Nextera_712
3	Nextera_701_Reversed:
1	Nextera_703_Reversed:
6	Nextera_704_Reversed:
244	Nextera_705_Reversed:
1	Nextera_706_Reversed:
1	Nextera_709_Reversed:
1	Nextera_711_Reversed:
41	Nextera_712_Reversed:
4255	rRNA_18S
130	rRNA_28S
13944	EC2_RNA_SPIKE_1_(750_bp)
1050	EC15_RNA_SPIKE_4_(1000_bp)
128	EC18_RNA_SPIKE_7_(1474bp)
2274	HPV18
692	HPV18_as
