../DDBJ/1772-067-039_D03.1.fastq.bz2	Input file name.
04-11-2015;11:31am	Date and Time
20.000000	selected threshold
1060755	total input reads
943863	successfully extracted
89.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5149	low complexity
111743	match artifacts:
23437	Nextera_701
22	Nextera_702
82364	Nextera_703
1	Nextera_704
32	Nextera_705
7	Nextera_707
8	Nextera_708
30	Nextera_709
10	Nextera_710
30	Nextera_711
31	Nextera_712
2	Nextera_701_Reversed:
1	Nextera_702_Reversed:
92	Nextera_703_Reversed:
4	Nextera_706_Reversed:
1	Nextera_707_Reversed:
1	Nextera_708_Reversed:
5	Nextera_709_Reversed:
2	Nextera_711_Reversed:
2	Nextera_712_Reversed:
1	rRNA_5.8S
333	rRNA_18S
40	rRNA_28S
156	EC2_RNA_SPIKE_1_(750_bp)
3	EC15_RNA_SPIKE_4_(1000_bp)
3882	HPV18
1246	HPV18_as
