../DDBJ/1772-064-103_A06.2.fastq.bz2	Input file name.
04-11-2015;12:52am	Date and Time
20.000000	selected threshold
1710671	total input reads
1469272	successfully extracted
85.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1434	low complexity
239965	match artifacts:
225975	Nextera_501
28	Nextera_502
13	Nextera_503
17	Nextera_504
42	Nextera_505
4	Nextera_506
2	Nextera_507
6	Nextera_508
20	Nextera_701
1	Nextera_501_Reversed:
2	Nextera_502_Reversed:
2	Nextera_507_Reversed:
85	rRNA_18S
18	rRNA_28S
12019	EC2_RNA_SPIKE_1_(750_bp)
2	EC3_RNA_SPIKE_3_(1000_bp)
782	EC15_RNA_SPIKE_4_(1000_bp)
74	EC18_RNA_SPIKE_7_(1474bp)
641	HPV18
232	HPV18_as
