../DDBJ/1772-062-249_C04.1.fastq.bz2	Input file name.
04-10-2015; 9:59pm	Date and Time
20.000000	selected threshold
1220518	total input reads
1122353	successfully extracted
92.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5174	low complexity
92991	match artifacts:
15909	Nextera_701
265	Nextera_702
1	Nextera_703
55153	Nextera_704
9	Nextera_705
7	Nextera_706
1	Nextera_707
2	Nextera_708
11	Nextera_709
1	Nextera_710
7	Nextera_711
9	Nextera_712
5	Nextera_701_Reversed:
2	Nextera_703_Reversed:
290	Nextera_704_Reversed:
1	Nextera_705_Reversed:
1	Nextera_706_Reversed:
29	Nextera_709_Reversed:
11	Nextera_711_Reversed:
17	Nextera_712_Reversed:
4114	rRNA_18S
149	rRNA_28S
13899	EC2_RNA_SPIKE_1_(750_bp)
1257	EC15_RNA_SPIKE_4_(1000_bp)
187	EC18_RNA_SPIKE_7_(1474bp)
1282	HPV18
372	HPV18_as
