../DDBJ/1772-062-249_G06.2.fastq.bz2	Input file name.
04-10-2015;11:55pm	Date and Time
20.000000	selected threshold
1448945	total input reads
1299912	successfully extracted
89.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1682	low complexity
147351	match artifacts:
18460	Nextera_501
932	Nextera_502
3633	Nextera_504
51	Nextera_505
3112	Nextera_506
83647	Nextera_507
1	Nextera_508
35	Nextera_701
1	Nextera_503_Reversed:
3	Nextera_505_Reversed:
1	Nextera_508_Reversed:
1	rRNA_5.8S
5461	rRNA_18S
243	rRNA_28S
26885	EC2_RNA_SPIKE_1_(750_bp)
2358	EC15_RNA_SPIKE_4_(1000_bp)
295	EC18_RNA_SPIKE_7_(1474bp)
1686	HPV18
546	HPV18_as
