../DDBJ/1772-067-039_C10.2.fastq.bz2	Input file name.
04-11-2015;11:14am	Date and Time
20.000000	selected threshold
1329772	total input reads
1224387	successfully extracted
92.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6068	low complexity
99317	match artifacts:
21464	Nextera_501
4485	Nextera_502
69923	Nextera_503
2	Nextera_504
4	Nextera_505
3	Nextera_506
80	Nextera_508
4	Nextera_701
1	Nextera_503_Reversed:
4	rRNA_5.8S
588	rRNA_18S
63	rRNA_28S
89	EC2_RNA_SPIKE_1_(750_bp)
4	EC15_RNA_SPIKE_4_(1000_bp)
1785	HPV18
818	HPV18_as
