../DDBJ/1772-062-249_E05.2.fastq.bz2	Input file name.
04-10-2015;10:56pm	Date and Time
20.000000	selected threshold
1345800	total input reads
1223155	successfully extracted
90.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1429	low complexity
121216	match artifacts:
19722	Nextera_501
9	Nextera_502
2	Nextera_503
14	Nextera_504
79638	Nextera_505
9	Nextera_507
5	Nextera_508
18	Nextera_701
10	rRNA_5.8S
2269	rRNA_18S
124	rRNA_28S
11371	EC2_RNA_SPIKE_1_(750_bp)
941	EC15_RNA_SPIKE_4_(1000_bp)
74	EC18_RNA_SPIKE_7_(1474bp)
5332	HPV18
1678	HPV18_as
