../DDBJ/1772-062-249_E03.1.fastq.bz2	Input file name.
04-10-2015;10:51pm	Date and Time
20.000000	selected threshold
1190330	total input reads
1099740	successfully extracted
92.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5228	low complexity
85362	match artifacts:
1	Nextera_501
12653	Nextera_701
9	Nextera_702
50147	Nextera_703
1	Nextera_704
15	Nextera_705
5	Nextera_706
1	Nextera_707
1	Nextera_708
2	Nextera_709
2	Nextera_710
13	Nextera_711
14	Nextera_712
3	Nextera_701_Reversed:
345	Nextera_703_Reversed:
3	Nextera_704_Reversed:
4	Nextera_705_Reversed:
3	Nextera_706_Reversed:
3	Nextera_709_Reversed:
9	Nextera_711_Reversed:
20	Nextera_712_Reversed:
3221	rRNA_18S
140	rRNA_28S
15383	EC2_RNA_SPIKE_1_(750_bp)
1019	EC15_RNA_SPIKE_4_(1000_bp)
118	EC18_RNA_SPIKE_7_(1474bp)
1757	HPV18
470	HPV18_as
