../DDBJ/1772-067-039_F09.2.fastq.bz2	Input file name.
04-11-2015;12:33pm	Date and Time
20.000000	selected threshold
14860	total input reads
11005	successfully extracted
74.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
335	low complexity
3520	match artifacts:
343	Nextera_501
6	Nextera_502
1	Nextera_503
83	Nextera_504
1289	Nextera_506
1	Nextera_507
1	Nextera_508
2	rRNA_18S
1693	EC2_RNA_SPIKE_1_(750_bp)
96	EC15_RNA_SPIKE_4_(1000_bp)
1	HPV18
4	HPV18_as
