../DDBJ/1772-067-038_D08.2.fastq.bz2	Input file name.
04-11-2015; 7:56am	Date and Time
20.000000	selected threshold
2008886	total input reads
1815838	successfully extracted
90.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
8429	low complexity
184619	match artifacts:
39819	Nextera_501
791	Nextera_502
13	Nextera_503
139038	Nextera_504
638	Nextera_505
14	Nextera_506
7	Nextera_507
5	Nextera_508
8	Nextera_701
2	rRNA_5.8S
75	rRNA_18S
21	rRNA_28S
388	EC2_RNA_SPIKE_1_(750_bp)
2690	HPV18
1110	HPV18_as
