../DDBJ/1772-067-039_E03.1.fastq.bz2	Input file name.
04-11-2015;12:00pm	Date and Time
20.000000	selected threshold
12340	total input reads
8305	successfully extracted
67.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
385	low complexity
3650	match artifacts:
456	Nextera_701
8	Nextera_702
1799	Nextera_703
11	Nextera_704
19	Nextera_706
2	Nextera_707
3	Nextera_708
19	Nextera_709
2	Nextera_701_Reversed:
2	Nextera_702_Reversed:
153	Nextera_703_Reversed:
2	Nextera_705_Reversed:
1	Nextera_707_Reversed:
1	Nextera_712_Reversed:
1	rRNA_18S
984	EC2_RNA_SPIKE_1_(750_bp)
142	EC15_RNA_SPIKE_4_(1000_bp)
35	EC18_RNA_SPIKE_7_(1474bp)
10	HPV18
