../DDBJ/1772-064-103_A10.2.fastq.bz2	Input file name.
04-11-2015; 1:05am	Date and Time
20.000000	selected threshold
1495205	total input reads
1294852	successfully extracted
86.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1238	low complexity
199115	match artifacts:
189291	Nextera_501
32	Nextera_502
3	Nextera_503
16	Nextera_504
34	Nextera_505
7	Nextera_506
2	Nextera_507
5	Nextera_508
20	Nextera_701
4	Nextera_501_Reversed:
1	Nextera_502_Reversed:
1	Nextera_504_Reversed:
1	Nextera_505_Reversed:
1	Nextera_508_Reversed:
114	rRNA_18S
105	rRNA_28S
6000	EC2_RNA_SPIKE_1_(750_bp)
20	EC3_RNA_SPIKE_3_(1000_bp)
434	EC15_RNA_SPIKE_4_(1000_bp)
2296	HPV18
728	HPV18_as
