../DDBJ/1772-062-248_H03.2.fastq.bz2	Input file name.
04-10-2015; 8:23pm	Date and Time
20.000000	selected threshold
2237871	total input reads
1941005	successfully extracted
86.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
4540	low complexity
292326	match artifacts:
43975	Nextera_501
13624	Nextera_502
7961	Nextera_503
12	Nextera_504
41	Nextera_505
19	Nextera_506
11	Nextera_507
190036	Nextera_508
46	Nextera_701
2	Nextera_503_Reversed:
2	Nextera_508_Reversed:
29	rRNA_5.8S
4122	rRNA_18S
288	rRNA_28S
19496	EC2_RNA_SPIKE_1_(750_bp)
1697	EC15_RNA_SPIKE_4_(1000_bp)
124	EC18_RNA_SPIKE_7_(1474bp)
7877	HPV18
2964	HPV18_as
