../DDBJ/1772-067-039_G08.1.fastq.bz2	Input file name.
04-11-2015; 1:00pm	Date and Time
20.000000	selected threshold
1580864	total input reads
1403489	successfully extracted
88.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7551	low complexity
169824	match artifacts:
36378	Nextera_701
5633	Nextera_702
48	Nextera_703
28	Nextera_704
37	Nextera_705
25	Nextera_706
17	Nextera_707
122069	Nextera_708
54	Nextera_709
12	Nextera_710
45	Nextera_711
60	Nextera_712
2	Nextera_701_Reversed:
1	Nextera_703_Reversed:
2	Nextera_704_Reversed:
9	Nextera_706_Reversed:
2	Nextera_707_Reversed:
109	Nextera_708_Reversed:
3	Nextera_709_Reversed:
2	Nextera_710_Reversed:
5	rRNA_5.8S
993	rRNA_18S
93	rRNA_28S
269	EC2_RNA_SPIKE_1_(750_bp)
15	EC15_RNA_SPIKE_4_(1000_bp)
2963	HPV18
950	HPV18_as
