../DDBJ/1772-062-249_D04.2.fastq.bz2	Input file name.
04-10-2015;10:28pm	Date and Time
20.000000	selected threshold
861589	total input reads
791345	successfully extracted
91.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1176	low complexity
69068	match artifacts:
9314	Nextera_501
50	Nextera_502
2	Nextera_503
43685	Nextera_504
700	Nextera_505
1	Nextera_507
1	Nextera_508
17	Nextera_701
1	rRNA_5.8S
1026	rRNA_18S
63	rRNA_28S
8068	EC2_RNA_SPIKE_1_(750_bp)
630	EC15_RNA_SPIKE_4_(1000_bp)
50	EC18_RNA_SPIKE_7_(1474bp)
4170	HPV18
1290	HPV18_as
