../DDBJ/1772-067-039_D10.1.fastq.bz2	Input file name.
04-11-2015;11:46am	Date and Time
20.000000	selected threshold
1220221	total input reads
1082582	successfully extracted
88.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
4545	low complexity
133094	match artifacts:
28140	Nextera_701
8709	Nextera_702
16	Nextera_703
3	Nextera_704
18	Nextera_705
8	Nextera_706
9	Nextera_707
16	Nextera_708
25	Nextera_709
90677	Nextera_710
16	Nextera_711
20	Nextera_712
3	Nextera_702_Reversed:
3	Nextera_704_Reversed:
1	Nextera_705_Reversed:
3	Nextera_707_Reversed:
1	Nextera_708_Reversed:
1	Nextera_709_Reversed:
99	Nextera_710_Reversed:
2	Nextera_711_Reversed:
1	Nextera_712_Reversed:
622	rRNA_18S
71	rRNA_28S
211	EC2_RNA_SPIKE_1_(750_bp)
7	EC15_RNA_SPIKE_4_(1000_bp)
3361	HPV18
1051	HPV18_as
