../DDBJ/1772-062-248_E11.2.fastq.bz2	Input file name.
04-10-2015; 6:26pm	Date and Time
20.000000	selected threshold
2145058	total input reads
1913312	successfully extracted
89.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2847	low complexity
228899	match artifacts:
46228	Nextera_501
59	Nextera_502
7	Nextera_503
62	Nextera_504
163435	Nextera_505
10	Nextera_506
11	Nextera_507
15	Nextera_508
40	Nextera_701
7	rRNA_5.8S
2652	rRNA_18S
152	rRNA_28S
11723	EC2_RNA_SPIKE_1_(750_bp)
1057	EC15_RNA_SPIKE_4_(1000_bp)
144	EC18_RNA_SPIKE_7_(1474bp)
2383	HPV18
914	HPV18_as
