../DDBJ/1772-062-249_H11.1.fastq.bz2	Input file name.
04-11-2015;12:29am	Date and Time
20.000000	selected threshold
1518107	total input reads
1355252	successfully extracted
89.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2713	low complexity
160142	match artifacts:
26085	Nextera_701
9	Nextera_702
3953	Nextera_703
5	Nextera_704
8	Nextera_705
5	Nextera_706
5	Nextera_707
15	Nextera_708
9	Nextera_709
6	Nextera_710
106518	Nextera_711
8	Nextera_712
3	Nextera_701_Reversed:
1	Nextera_702_Reversed:
3	Nextera_703_Reversed:
1	Nextera_704_Reversed:
2	Nextera_705_Reversed:
4	Nextera_706_Reversed:
1	Nextera_708_Reversed:
2	Nextera_709_Reversed:
507	Nextera_711_Reversed:
45	Nextera_712_Reversed:
1	rRNA_5.8S
2926	rRNA_18S
125	rRNA_28S
14397	EC2_RNA_SPIKE_1_(750_bp)
1269	EC15_RNA_SPIKE_4_(1000_bp)
131	EC18_RNA_SPIKE_7_(1474bp)
3173	HPV18
925	HPV18_as
