../DDBJ/1772-064-103_F11.2.fastq.bz2	Input file name.
04-11-2015; 4:32am	Date and Time
20.000000	selected threshold
2235691	total input reads
1811438	successfully extracted
81.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2706	low complexity
421547	match artifacts:
60311	Nextera_501
940	Nextera_502
31	Nextera_503
13960	Nextera_504
28	Nextera_505
305433	Nextera_506
43	Nextera_507
13	Nextera_508
24	Nextera_701
2	Nextera_501_Reversed:
1	Nextera_503_Reversed:
19	Nextera_506_Reversed:
2	Nextera_508_Reversed:
16	rRNA_5.8S
517	rRNA_18S
122	rRNA_28S
35148	EC2_RNA_SPIKE_1_(750_bp)
1720	EC15_RNA_SPIKE_4_(1000_bp)
61	EC18_RNA_SPIKE_7_(1474bp)
2252	HPV18
904	HPV18_as
