../DDBJ/1772-067-038_C12.2.fastq.bz2	Input file name.
04-11-2015; 7:30am	Date and Time
20.000000	selected threshold
1658476	total input reads
1535821	successfully extracted
92.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9716	low complexity
112939	match artifacts:
24383	Nextera_501
4650	Nextera_502
80176	Nextera_503
2	Nextera_504
2	Nextera_505
3	Nextera_506
54	Nextera_508
4	Nextera_701
1	Nextera_503_Reversed:
17	rRNA_5.8S
72	rRNA_18S
13	rRNA_28S
137	EC2_RNA_SPIKE_1_(750_bp)
2517	HPV18
908	HPV18_as
