../DDBJ/1772-067-039_G06.2.fastq.bz2	Input file name.
04-11-2015;12:55pm	Date and Time
20.000000	selected threshold
1535901	total input reads
1400856	successfully extracted
91.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7889	low complexity
127156	match artifacts:
27622	Nextera_501
417	Nextera_502
8	Nextera_503
5037	Nextera_504
167	Nextera_505
5562	Nextera_506
82730	Nextera_507
8	Nextera_508
7	Nextera_701
3	rRNA_5.8S
1054	rRNA_18S
94	rRNA_28S
201	EC2_RNA_SPIKE_1_(750_bp)
2973	HPV18
1273	HPV18_as
