../DDBJ/1772-067-038_H12.2.fastq.bz2	Input file name.
04-11-2015;10:11am	Date and Time
20.000000	selected threshold
1883096	total input reads
1712231	successfully extracted
90.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9543	low complexity
161322	match artifacts:
31208	Nextera_501
8058	Nextera_502
5615	Nextera_503
6	Nextera_504
22	Nextera_505
23	Nextera_506
1	Nextera_507
111868	Nextera_508
2	Nextera_701
7	rRNA_5.8S
167	rRNA_18S
6	rRNA_28S
74	EC2_RNA_SPIKE_1_(750_bp)
3116	HPV18
1149	HPV18_as
