../DDBJ/1772-067-038_G06.1.fastq.bz2	Input file name.
04-11-2015; 9:34am	Date and Time
20.000000	selected threshold
214732	total input reads
165507	successfully extracted
77.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5191	low complexity
44034	match artifacts:
10729	Nextera_701
9	Nextera_702
31	Nextera_703
9	Nextera_704
17	Nextera_705
29241	Nextera_706
7	Nextera_708
9	Nextera_709
13	Nextera_711
2	Nextera_712
9	Nextera_701_Reversed:
2	Nextera_703_Reversed:
2	Nextera_704_Reversed:
159	Nextera_706_Reversed:
2	Nextera_709_Reversed:
2	Nextera_712_Reversed:
565	rRNA_18S
4	rRNA_28S
2977	EC2_RNA_SPIKE_1_(750_bp)
237	EC15_RNA_SPIKE_4_(1000_bp)
8	HPV18
