../DDBJ/1772-067-039_D07.2.fastq.bz2	Input file name.
04-11-2015;11:39am	Date and Time
20.000000	selected threshold
1713665	total input reads
1539025	successfully extracted
89.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7207	low complexity
167433	match artifacts:
36742	Nextera_501
604	Nextera_502
4	Nextera_503
126958	Nextera_504
507	Nextera_505
18	Nextera_506
8	Nextera_507
11	Nextera_508
4	Nextera_701
472	rRNA_18S
69	rRNA_28S
91	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
1311	HPV18
633	HPV18_as
