../DDBJ/1772-067-038_F05.2.fastq.bz2	Input file name.
04-11-2015; 8:58am	Date and Time
20.000000	selected threshold
1898151	total input reads
1754988	successfully extracted
92.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
8945	low complexity
134218	match artifacts:
29021	Nextera_501
319	Nextera_502
9	Nextera_503
5612	Nextera_504
13	Nextera_505
94711	Nextera_506
26	Nextera_507
6	Nextera_508
8	Nextera_701
1	Nextera_502_Reversed:
1	Nextera_506_Reversed:
5	rRNA_5.8S
166	rRNA_18S
15	rRNA_28S
261	EC2_RNA_SPIKE_1_(750_bp)
2995	HPV18
1049	HPV18_as
