../DDBJ/1772-062-249_E01.2.fastq.bz2	Input file name.
04-10-2015;10:47pm	Date and Time
20.000000	selected threshold
831767	total input reads
775587	successfully extracted
93.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2349	low complexity
53831	match artifacts:
8846	Nextera_501
5	Nextera_502
2	Nextera_503
7	Nextera_504
33627	Nextera_505
1	Nextera_506
1	Nextera_507
2	Nextera_508
23	Nextera_701
1	Nextera_501_Reversed:
1	Nextera_502_Reversed:
1	rRNA_5.8S
1481	rRNA_18S
82	rRNA_28S
6190	EC2_RNA_SPIKE_1_(750_bp)
426	EC15_RNA_SPIKE_4_(1000_bp)
29	EC18_RNA_SPIKE_7_(1474bp)
2325	HPV18
781	HPV18_as
