../DDBJ/1772-062-249_F08.2.fastq.bz2	Input file name.
04-10-2015;11:31pm	Date and Time
20.000000	selected threshold
1200715	total input reads
1094591	successfully extracted
91.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1559	low complexity
104565	match artifacts:
13763	Nextera_501
438	Nextera_502
4	Nextera_503
3013	Nextera_504
4	Nextera_505
63342	Nextera_506
12	Nextera_507
1	Nextera_508
26	Nextera_701
1	Nextera_708
1	Nextera_501_Reversed:
2	Nextera_506_Reversed:
1	Nextera_508_Reversed:
2	rRNA_5.8S
3735	rRNA_18S
174	rRNA_28S
14748	EC2_RNA_SPIKE_1_(750_bp)
1149	EC15_RNA_SPIKE_4_(1000_bp)
52	EC18_RNA_SPIKE_7_(1474bp)
3114	HPV18
983	HPV18_as
