../DDBJ/1772-064-103_B04.2.fastq.bz2	Input file name.
04-11-2015; 1:26am	Date and Time
20.000000	selected threshold
1866022	total input reads
1579476	successfully extracted
84.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1542	low complexity
285004	match artifacts:
42435	Nextera_501
218712	Nextera_502
35	Nextera_503
18	Nextera_504
10	Nextera_505
19	Nextera_506
2	Nextera_507
6	Nextera_508
40	Nextera_701
1	Nextera_501_Reversed:
2	Nextera_502_Reversed:
2	Nextera_507_Reversed:
1	Nextera_508_Reversed:
138	rRNA_18S
67	rRNA_28S
20668	EC2_RNA_SPIKE_1_(750_bp)
1030	EC15_RNA_SPIKE_4_(1000_bp)
1324	HPV18
494	HPV18_as
