../DDBJ/1772-062-249_F07.2.fastq.bz2	Input file name.
04-10-2015;11:28pm	Date and Time
20.000000	selected threshold
1460034	total input reads
1320489	successfully extracted
90.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1875	low complexity
137670	match artifacts:
17130	Nextera_501
429	Nextera_502
5	Nextera_503
3682	Nextera_504
3	Nextera_505
78974	Nextera_506
11	Nextera_507
4	Nextera_508
32	Nextera_701
2	Nextera_501_Reversed:
1	Nextera_504_Reversed:
1	Nextera_506_Reversed:
1	rRNA_5.8S
4427	rRNA_18S
187	rRNA_28S
25637	EC2_RNA_SPIKE_1_(750_bp)
2423	EC15_RNA_SPIKE_4_(1000_bp)
187	EC18_RNA_SPIKE_7_(1474bp)
3391	HPV18
1143	HPV18_as
