../DDBJ/1772-067-039_B03.1.fastq.bz2	Input file name.
04-11-2015;10:34am	Date and Time
20.000000	selected threshold
1076400	total input reads
966932	successfully extracted
89.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7293	low complexity
102175	match artifacts:
22198	Nextera_701
24	Nextera_702
77755	Nextera_703
16	Nextera_704
26	Nextera_705
1	Nextera_706
9	Nextera_707
6	Nextera_708
30	Nextera_709
3	Nextera_710
18	Nextera_711
27	Nextera_712
2	Nextera_701_Reversed:
1	Nextera_702_Reversed:
97	Nextera_703_Reversed:
1	Nextera_704_Reversed:
2	Nextera_706_Reversed:
3	Nextera_709_Reversed:
2	Nextera_711_Reversed:
1	Nextera_712_Reversed:
3	rRNA_5.8S
531	rRNA_18S
57	rRNA_28S
102	EC2_RNA_SPIKE_1_(750_bp)
5	EC15_RNA_SPIKE_4_(1000_bp)
954	HPV18
301	HPV18_as
