../DDBJ/1772-062-249_A11.1.fastq.bz2	Input file name.
04-10-2015; 9:21pm	Date and Time
20.000000	selected threshold
2032781	total input reads
1796885	successfully extracted
88.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1805	low complexity
234091	match artifacts:
38354	Nextera_701
15	Nextera_702
5884	Nextera_703
6	Nextera_704
11	Nextera_705
12	Nextera_706
6	Nextera_707
31	Nextera_708
9	Nextera_709
13	Nextera_710
162548	Nextera_711
9	Nextera_712
7	Nextera_701_Reversed:
12	Nextera_703_Reversed:
1	Nextera_704_Reversed:
10	Nextera_705_Reversed:
3	Nextera_706_Reversed:
5	Nextera_709_Reversed:
2632	Nextera_711_Reversed:
14	Nextera_712_Reversed:
4555	rRNA_18S
167	rRNA_28S
16172	EC2_RNA_SPIKE_1_(750_bp)
1205	EC15_RNA_SPIKE_4_(1000_bp)
114	EC18_RNA_SPIKE_7_(1474bp)
1800	HPV18
496	HPV18_as
