../DDBJ/1772-067-038_A09.1.fastq.bz2	Input file name.
04-11-2015; 6:12am	Date and Time
20.000000	selected threshold
1391572	total input reads
1234773	successfully extracted
88.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
11884	low complexity
144915	match artifacts:
30253	Nextera_701
65	Nextera_702
11	Nextera_703
43	Nextera_704
4645	Nextera_705
3	Nextera_706
8	Nextera_707
7	Nextera_708
103346	Nextera_709
2	Nextera_710
3	Nextera_711
15	Nextera_712
1	Nextera_701_Reversed:
2	Nextera_702_Reversed:
4	Nextera_704_Reversed:
3	Nextera_705_Reversed:
4	Nextera_706_Reversed:
219	Nextera_709_Reversed:
2	Nextera_710_Reversed:
4	Nextera_712_Reversed:
5	rRNA_5.8S
122	rRNA_18S
5	rRNA_28S
269	EC2_RNA_SPIKE_1_(750_bp)
26	EC18_RNA_SPIKE_7_(1474bp)
4459	HPV18
1389	HPV18_as
