../DDBJ/1772-067-039_A01.1.fastq.bz2	Input file name.
04-11-2015;10:13am	Date and Time
20.000000	selected threshold
1128305	total input reads
1010345	successfully extracted
89.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7719	low complexity
110241	match artifacts:
107360	Nextera_701
10	Nextera_702
9	Nextera_703
14	Nextera_704
13	Nextera_705
4	Nextera_707
3	Nextera_708
15	Nextera_709
1	Nextera_710
11	Nextera_711
1	Nextera_712
50	Nextera_701_Reversed:
1	Nextera_702_Reversed:
1	Nextera_703_Reversed:
1	Nextera_705_Reversed:
1	Nextera_709_Reversed:
1	Nextera_710_Reversed:
2	Nextera_712_Reversed:
2	rRNA_5.8S
871	rRNA_18S
100	rRNA_28S
186	EC2_RNA_SPIKE_1_(750_bp)
1209	HPV18
375	HPV18_as
