../DDBJ/1772-067-039_E01.1.fastq.bz2	Input file name.
04-11-2015;11:57am	Date and Time
20.000000	selected threshold
1148856	total input reads
1032301	successfully extracted
89.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9116	low complexity
107439	match artifacts:
103820	Nextera_701
11	Nextera_702
9	Nextera_703
14	Nextera_704
2	Nextera_705
22	Nextera_706
4	Nextera_707
9	Nextera_708
15	Nextera_709
1	Nextera_711
2	Nextera_712
93	Nextera_701_Reversed:
3	Nextera_704_Reversed:
1	Nextera_705_Reversed:
2	Nextera_706_Reversed:
1	Nextera_710_Reversed:
2	Nextera_712_Reversed:
2	rRNA_5.8S
463	rRNA_18S
85	rRNA_28S
121	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
2109	HPV18
647	HPV18_as
