../DDBJ/1772-062-248_E10.2.fastq.bz2	Input file name.
04-10-2015; 6:22pm	Date and Time
20.000000	selected threshold
1787415	total input reads
1598575	successfully extracted
89.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2626	low complexity
186214	match artifacts:
37804	Nextera_501
60	Nextera_502
6	Nextera_503
55	Nextera_504
132940	Nextera_505
9	Nextera_506
20	Nextera_507
15	Nextera_508
33	Nextera_701
1	Nextera_501_Reversed:
2	Nextera_505_Reversed:
1	Nextera_508_Reversed:
2046	rRNA_18S
108	rRNA_28S
8056	EC2_RNA_SPIKE_1_(750_bp)
690	EC15_RNA_SPIKE_4_(1000_bp)
95	EC18_RNA_SPIKE_7_(1474bp)
3089	HPV18
1184	HPV18_as
