../DDBJ/1772-062-248_F08.2.fastq.bz2	Input file name.
04-10-2015; 7:01pm	Date and Time
20.000000	selected threshold
1921852	total input reads
1695213	successfully extracted
88.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3130	low complexity
223509	match artifacts:
35056	Nextera_501
1775	Nextera_502
14	Nextera_503
6485	Nextera_504
25	Nextera_505
150316	Nextera_506
96	Nextera_507
12	Nextera_508
44	Nextera_701
1	Nextera_501_Reversed:
2	Nextera_503_Reversed:
1	Nextera_504_Reversed:
2	Nextera_506_Reversed:
2	rRNA_5.8S
2473	rRNA_18S
162	rRNA_28S
11902	EC2_RNA_SPIKE_1_(750_bp)
1294	EC15_RNA_SPIKE_4_(1000_bp)
45	EC18_RNA_SPIKE_7_(1474bp)
10050	HPV18
3752	HPV18_as
