../DDBJ/1772-064-103_A11.1.fastq.bz2	Input file name.
04-11-2015; 1:07am	Date and Time
20.000000	selected threshold
1747601	total input reads
1416774	successfully extracted
81.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
4885	low complexity
325942	match artifacts:
52854	Nextera_701
34	Nextera_702
8464	Nextera_703
33	Nextera_704
38	Nextera_705
41	Nextera_706
23	Nextera_707
70	Nextera_708
25	Nextera_710
236929	Nextera_711
29	Nextera_712
25	Nextera_701_Reversed:
1	Nextera_702_Reversed:
35	Nextera_703_Reversed:
11	Nextera_704_Reversed:
29	Nextera_705_Reversed:
9	Nextera_706_Reversed:
4	Nextera_707_Reversed:
4	Nextera_708_Reversed:
2	Nextera_710_Reversed:
2755	Nextera_711_Reversed:
16	Nextera_712_Reversed:
3	rRNA_5.8S
793	rRNA_18S
119	rRNA_28S
20672	EC2_RNA_SPIKE_1_(750_bp)
926	EC15_RNA_SPIKE_4_(1000_bp)
3	EC18_RNA_SPIKE_7_(1474bp)
1477	HPV18
518	HPV18_as
