../DDBJ/1772-062-249_G03.1.fastq.bz2	Input file name.
04-10-2015;11:47pm	Date and Time
20.000000	selected threshold
1171016	total input reads
1076815	successfully extracted
92.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5446	low complexity
88755	match artifacts:
12986	Nextera_701
4	Nextera_702
52645	Nextera_703
3	Nextera_704
11	Nextera_705
11	Nextera_706
3	Nextera_707
1	Nextera_708
5	Nextera_709
8	Nextera_711
6	Nextera_712
266	Nextera_703_Reversed:
2	Nextera_704_Reversed:
2	Nextera_705_Reversed:
3	Nextera_706_Reversed:
1	Nextera_708_Reversed:
1	Nextera_709_Reversed:
1	Nextera_710_Reversed:
10	Nextera_711_Reversed:
8	Nextera_712_Reversed:
4057	rRNA_18S
149	rRNA_28S
15366	EC2_RNA_SPIKE_1_(750_bp)
1049	EC15_RNA_SPIKE_4_(1000_bp)
68	EC18_RNA_SPIKE_7_(1474bp)
1609	HPV18
480	HPV18_as
