../DDBJ/1772-067-038_D03.2.fastq.bz2	Input file name.
04-11-2015; 7:39am	Date and Time
20.000000	selected threshold
1518640	total input reads
1385711	successfully extracted
91.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7221	low complexity
125708	match artifacts:
27161	Nextera_501
485	Nextera_502
8	Nextera_503
95556	Nextera_504
428	Nextera_505
11	Nextera_506
9	Nextera_507
6	Nextera_508
2	Nextera_701
1	Nextera_504_Reversed:
53	rRNA_18S
6	rRNA_28S
114	EC2_RNA_SPIKE_1_(750_bp)
2	EC3_RNA_SPIKE_3_(1000_bp)
1292	HPV18
574	HPV18_as
