../DDBJ/1772-067-039_B07.2.fastq.bz2	Input file name.
04-11-2015;10:44am	Date and Time
20.000000	selected threshold
1601142	total input reads
1459012	successfully extracted
91.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
8320	low complexity
133810	match artifacts:
28967	Nextera_501
99456	Nextera_502
183	Nextera_503
9	Nextera_504
3	Nextera_505
8	Nextera_506
1	Nextera_507
3	Nextera_508
4	Nextera_701
3	rRNA_5.8S
941	rRNA_18S
126	rRNA_28S
192	EC2_RNA_SPIKE_1_(750_bp)
2741	HPV18
1173	HPV18_as
