../DDBJ/1772-062-249_F04.2.fastq.bz2	Input file name.
04-10-2015;11:23pm	Date and Time
20.000000	selected threshold
1298540	total input reads
1189692	successfully extracted
91.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2043	low complexity
106805	match artifacts:
13256	Nextera_501
423	Nextera_502
2	Nextera_503
2842	Nextera_504
7	Nextera_505
59363	Nextera_506
15	Nextera_507
1	Nextera_508
21	Nextera_701
1	Nextera_504_Reversed:
3	Nextera_506_Reversed:
3	rRNA_5.8S
3894	rRNA_18S
203	rRNA_28S
19018	EC2_RNA_SPIKE_1_(750_bp)
1518	EC15_RNA_SPIKE_4_(1000_bp)
24	EC18_RNA_SPIKE_7_(1474bp)
4790	HPV18
1421	HPV18_as
