../DDBJ/1772-067-038_C05.2.fastq.bz2	Input file name.
04-11-2015; 7:12am	Date and Time
20.000000	selected threshold
1974966	total input reads
1797690	successfully extracted
91.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9626	low complexity
167650	match artifacts:
35500	Nextera_501
6553	Nextera_502
119085	Nextera_503
4	Nextera_505
2	Nextera_506
2	Nextera_507
102	Nextera_508
5	Nextera_701
4	rRNA_5.8S
356	rRNA_18S
21	rRNA_28S
1225	EC2_RNA_SPIKE_1_(750_bp)
42	EC15_RNA_SPIKE_4_(1000_bp)
3486	HPV18
1263	HPV18_as
