../DDBJ/1772-067-039_H04.2.fastq.bz2	Input file name.
04-11-2015; 1:24pm	Date and Time
20.000000	selected threshold
1486649	total input reads
1359909	successfully extracted
91.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6835	low complexity
119905	match artifacts:
23789	Nextera_501
5912	Nextera_502
4346	Nextera_503
6	Nextera_504
39	Nextera_505
33	Nextera_506
6	Nextera_507
82063	Nextera_508
8	Nextera_701
1	rRNA_5.8S
743	rRNA_18S
77	rRNA_28S
153	EC2_RNA_SPIKE_1_(750_bp)
3	EC15_RNA_SPIKE_4_(1000_bp)
1851	HPV18
875	HPV18_as
