../DDBJ/1772-067-038_A07.2.fastq.bz2	Input file name.
04-11-2015; 6:08am	Date and Time
20.000000	selected threshold
1403937	total input reads
1272191	successfully extracted
90.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9480	low complexity
122266	match artifacts:
121215	Nextera_501
30	Nextera_502
9	Nextera_503
42	Nextera_504
41	Nextera_505
3	Nextera_508
3	Nextera_701
1	Nextera_501_Reversed:
100	rRNA_18S
10	rRNA_28S
453	EC2_RNA_SPIKE_1_(750_bp)
3	EC15_RNA_SPIKE_4_(1000_bp)
265	HPV18
91	HPV18_as
