../DDBJ/1772-067-039_B03.2.fastq.bz2	Input file name.
04-11-2015;10:35am	Date and Time
20.000000	selected threshold
1076400	total input reads
997625	successfully extracted
92.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5536	low complexity
73239	match artifacts:
16385	Nextera_501
54831	Nextera_502
106	Nextera_503
3	Nextera_504
3	Nextera_505
3	Nextera_506
2	Nextera_507
2	Nextera_508
3	Nextera_701
2	Nextera_502_Reversed:
3	rRNA_5.8S
514	rRNA_18S
53	rRNA_28S
103	EC2_RNA_SPIKE_1_(750_bp)
4	EC15_RNA_SPIKE_4_(1000_bp)
877	HPV18
345	HPV18_as
