../DDBJ/1772-067-038_F07.2.fastq.bz2	Input file name.
04-11-2015; 9:05am	Date and Time
20.000000	selected threshold
2039512	total input reads
1892852	successfully extracted
92.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9955	low complexity
136705	match artifacts:
30757	Nextera_501
371	Nextera_502
20	Nextera_503
5782	Nextera_504
17	Nextera_505
97543	Nextera_506
28	Nextera_507
8	Nextera_508
4	Nextera_701
1	Nextera_507_Reversed:
142	rRNA_18S
21	rRNA_28S
568	EC2_RNA_SPIKE_1_(750_bp)
1045	HPV18
398	HPV18_as
