../DDBJ/1772-067-039_B01.1.fastq.bz2	Input file name.
04-11-2015;10:30am	Date and Time
20.000000	selected threshold
6502	total input reads
3160	successfully extracted
48.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
157	low complexity
3185	match artifacts:
936	Nextera_701
8	Nextera_702
5	Nextera_703
18	Nextera_704
15	Nextera_705
1	Nextera_706
1	Nextera_707
2	Nextera_708
23	Nextera_709
1	Nextera_710
19	Nextera_712
91	Nextera_701_Reversed:
2	Nextera_703_Reversed:
2	Nextera_704_Reversed:
1	Nextera_705_Reversed:
2	Nextera_706_Reversed:
1	Nextera_707_Reversed:
2	Nextera_709_Reversed:
1	Nextera_711_Reversed:
2008	EC2_RNA_SPIKE_1_(750_bp)
3	EC3_RNA_SPIKE_3_(1000_bp)
36	EC15_RNA_SPIKE_4_(1000_bp)
4	EC18_RNA_SPIKE_7_(1474bp)
2	HPV18
1	HPV18_as
