../DDBJ/1772-062-249_H04.1.fastq.bz2	Input file name.
04-11-2015;12:16am	Date and Time
20.000000	selected threshold
1009334	total input reads
929822	successfully extracted
92.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6067	low complexity
73445	match artifacts:
1	Nextera_501
11889	Nextera_701
215	Nextera_702
4	Nextera_703
40452	Nextera_704
3	Nextera_705
4	Nextera_706
2	Nextera_707
2	Nextera_708
5	Nextera_709
10	Nextera_711
2	Nextera_712
6	Nextera_701_Reversed:
1	Nextera_702_Reversed:
253	Nextera_704_Reversed:
2	Nextera_705_Reversed:
1	Nextera_707_Reversed:
1	Nextera_708_Reversed:
1	Nextera_709_Reversed:
3	Nextera_710_Reversed:
6	Nextera_711_Reversed:
23	Nextera_712_Reversed:
3824	rRNA_18S
160	rRNA_28S
12062	EC2_RNA_SPIKE_1_(750_bp)
1237	EC15_RNA_SPIKE_4_(1000_bp)
33	EC18_RNA_SPIKE_7_(1474bp)
2466	HPV18
777	HPV18_as
