../DDBJ/1772-067-039_D05.1.fastq.bz2	Input file name.
04-11-2015;11:34am	Date and Time
20.000000	selected threshold
1956079	total input reads
1685391	successfully extracted
86.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3399	low complexity
267289	match artifacts:
57016	Nextera_701
63	Nextera_702
220	Nextera_703
4	Nextera_704
206771	Nextera_705
4	Nextera_706
7	Nextera_707
4	Nextera_708
20	Nextera_709
8	Nextera_710
10	Nextera_711
42	Nextera_712
2	Nextera_701_Reversed:
1	Nextera_703_Reversed:
189	Nextera_705_Reversed:
2	Nextera_706_Reversed:
2	Nextera_712_Reversed:
371	rRNA_18S
61	rRNA_28S
246	EC2_RNA_SPIKE_1_(750_bp)
45	EC15_RNA_SPIKE_4_(1000_bp)
1608	HPV18
593	HPV18_as
