../DDBJ/1772-067-038_B01.1.fastq.bz2	Input file name.
04-11-2015; 6:24am	Date and Time
20.000000	selected threshold
1581400	total input reads
1427205	successfully extracted
90.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
13979	low complexity
140216	match artifacts:
138435	Nextera_701
14	Nextera_702
27	Nextera_703
18	Nextera_704
28	Nextera_705
20	Nextera_706
8	Nextera_707
1	Nextera_708
36	Nextera_709
1	Nextera_710
14	Nextera_711
28	Nextera_712
90	Nextera_701_Reversed:
2	Nextera_703_Reversed:
2	Nextera_704_Reversed:
3	Nextera_705_Reversed:
2	Nextera_706_Reversed:
1	Nextera_707_Reversed:
2	Nextera_709_Reversed:
1	Nextera_710_Reversed:
1	Nextera_711_Reversed:
5	Nextera_712_Reversed:
5	rRNA_5.8S
46	rRNA_18S
12	rRNA_28S
182	EC2_RNA_SPIKE_1_(750_bp)
1	EC18_RNA_SPIKE_7_(1474bp)
913	HPV18
318	HPV18_as
