../DDBJ/1772-064-103_G12.2.fastq.bz2	Input file name.
04-11-2015; 5:19am	Date and Time
20.000000	selected threshold
2236046	total input reads
1911542	successfully extracted
85.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1314	low complexity
323190	match artifacts:
50218	Nextera_501
1202	Nextera_502
13	Nextera_503
11060	Nextera_504
178	Nextera_505
9327	Nextera_506
233060	Nextera_507
4	Nextera_508
17	Nextera_701
1	Nextera_505_Reversed:
2	Nextera_507_Reversed:
2	Nextera_508_Reversed:
1	Nextera_712_Reversed:
110	rRNA_18S
54	rRNA_28S
13909	EC2_RNA_SPIKE_1_(750_bp)
853	EC15_RNA_SPIKE_4_(1000_bp)
21	EC18_RNA_SPIKE_7_(1474bp)
2309	HPV18
849	HPV18_as
