../DDBJ/1772-064-103_H02.2.fastq.bz2	Input file name.
04-11-2015; 5:26am	Date and Time
20.000000	selected threshold
1867898	total input reads
1559167	successfully extracted
83.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1925	low complexity
306806	match artifacts:
43663	Nextera_501
16014	Nextera_502
7870	Nextera_503
6	Nextera_504
18	Nextera_505
11	Nextera_506
7	Nextera_507
213477	Nextera_508
23	Nextera_701
4	Nextera_501_Reversed:
1	Nextera_502_Reversed:
1	Nextera_506_Reversed:
1	Nextera_508_Reversed:
1	rRNA_5.8S
261	rRNA_18S
65	rRNA_28S
20637	EC2_RNA_SPIKE_1_(750_bp)
668	EC15_RNA_SPIKE_4_(1000_bp)
117	EC18_RNA_SPIKE_7_(1474bp)
2868	HPV18
1093	HPV18_as
