../DDBJ/1772-067-039_H02.2.fastq.bz2	Input file name.
04-11-2015; 1:19pm	Date and Time
20.000000	selected threshold
1329257	total input reads
1218048	successfully extracted
91.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6164	low complexity
105045	match artifacts:
20738	Nextera_501
5344	Nextera_502
3810	Nextera_503
11	Nextera_504
28	Nextera_505
31	Nextera_506
2	Nextera_507
71540	Nextera_508
2	Nextera_502_Reversed:
1	rRNA_5.8S
840	rRNA_18S
90	rRNA_28S
203	EC2_RNA_SPIKE_1_(750_bp)
24	EC15_RNA_SPIKE_4_(1000_bp)
1662	HPV18
719	HPV18_as
