../DDBJ/1772-064-103_D11.2.fastq.bz2	Input file name.
04-11-2015; 3:12am	Date and Time
20.000000	selected threshold
1856178	total input reads
1491886	successfully extracted
80.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1077	low complexity
363215	match artifacts:
53295	Nextera_501
858	Nextera_502
24	Nextera_503
290864	Nextera_504
1351	Nextera_505
20	Nextera_506
18	Nextera_507
7	Nextera_508
17	Nextera_701
2	Nextera_501_Reversed:
3	Nextera_502_Reversed:
3	Nextera_504_Reversed:
2	Nextera_505_Reversed:
1	Nextera_508_Reversed:
22	rRNA_5.8S
113	rRNA_18S
50	rRNA_28S
12875	EC2_RNA_SPIKE_1_(750_bp)
434	EC15_RNA_SPIKE_4_(1000_bp)
316	EC18_RNA_SPIKE_7_(1474bp)
2095	HPV18
845	HPV18_as
