../DDBJ/1772-062-249_B01.2.fastq.bz2	Input file name.
04-10-2015; 9:30pm	Date and Time
20.000000	selected threshold
1118668	total input reads
1023077	successfully extracted
91.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1252	low complexity
94339	match artifacts:
13058	Nextera_501
62944	Nextera_502
4	Nextera_503
5	Nextera_504
3	Nextera_505
5	Nextera_506
1	Nextera_507
1	Nextera_508
18	Nextera_701
2	Nextera_502_Reversed:
1	Nextera_508_Reversed:
1	rRNA_5.8S
3149	rRNA_18S
104	rRNA_28S
8715	EC2_RNA_SPIKE_1_(750_bp)
824	EC15_RNA_SPIKE_4_(1000_bp)
62	EC18_RNA_SPIKE_7_(1474bp)
4064	HPV18
1378	HPV18_as
