../DDBJ/1772-064-103_A05.2.fastq.bz2	Input file name.
04-11-2015;12:49am	Date and Time
20.000000	selected threshold
1779058	total input reads
1474991	successfully extracted
82.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2000	low complexity
302067	match artifacts:
272987	Nextera_501
34	Nextera_502
24	Nextera_503
17	Nextera_504
38	Nextera_505
8	Nextera_506
3	Nextera_507
8	Nextera_508
23	Nextera_701
5	Nextera_501_Reversed:
2	Nextera_502_Reversed:
1	Nextera_503_Reversed:
1	Nextera_506_Reversed:
1	Nextera_507_Reversed:
14	rRNA_5.8S
769	rRNA_18S
177	rRNA_28S
22772	EC2_RNA_SPIKE_1_(750_bp)
1851	EC15_RNA_SPIKE_4_(1000_bp)
14	EC18_RNA_SPIKE_7_(1474bp)
2403	HPV18
915	HPV18_as
