../DDBJ/1772-067-038_A12.2.fastq.bz2	Input file name.
04-11-2015; 6:23am	Date and Time
20.000000	selected threshold
1807779	total input reads
1642402	successfully extracted
90.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
11383	low complexity
153994	match artifacts:
151282	Nextera_501
47	Nextera_502
3	Nextera_503
57	Nextera_504
54	Nextera_505
3	Nextera_506
5	Nextera_508
2	Nextera_701
1	Nextera_501_Reversed:
1	Nextera_504_Reversed:
204	rRNA_18S
29	rRNA_28S
451	EC2_RNA_SPIKE_1_(750_bp)
1	EC18_RNA_SPIKE_7_(1474bp)
1336	HPV18
518	HPV18_as
