../DDBJ/1772-062-248_A02.2.fastq.bz2	Input file name.
04-10-2015; 3:14pm	Date and Time
20.000000	selected threshold
457366	total input reads
329005	successfully extracted
71.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
12720	low complexity
115641	match artifacts:
111926	Nextera_501
16	Nextera_502
9	Nextera_503
15	Nextera_504
96	Nextera_505
3	Nextera_506
8	Nextera_507
8	Nextera_508
11	Nextera_701
3	Nextera_501_Reversed:
1	Nextera_503_Reversed:
1	rRNA_5.8S
162	rRNA_18S
82	rRNA_28S
2620	EC2_RNA_SPIKE_1_(750_bp)
88	EC15_RNA_SPIKE_4_(1000_bp)
10	EC18_RNA_SPIKE_7_(1474bp)
371	HPV18
211	HPV18_as
