../DDBJ/1772-067-039_B06.1.fastq.bz2	Input file name.
04-11-2015;10:41am	Date and Time
20.000000	selected threshold
13226	total input reads
9020	successfully extracted
68.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
430	low complexity
3776	match artifacts:
596	Nextera_701
2	Nextera_702
11	Nextera_703
10	Nextera_704
13	Nextera_705
1813	Nextera_706
2	Nextera_707
3	Nextera_708
26	Nextera_709
2	Nextera_710
10	Nextera_712
3	Nextera_701_Reversed:
1	Nextera_703_Reversed:
1	Nextera_704_Reversed:
82	Nextera_706_Reversed:
1	Nextera_709_Reversed:
2	Nextera_711_Reversed:
1	Nextera_712_Reversed:
1170	EC2_RNA_SPIKE_1_(750_bp)
19	EC15_RNA_SPIKE_4_(1000_bp)
3	EC18_RNA_SPIKE_7_(1474bp)
4	HPV18
1	HPV18_as
