../DDBJ/1772-067-038_F06.1.fastq.bz2	Input file name.
04-11-2015; 9:00am	Date and Time
20.000000	selected threshold
1695530	total input reads
1492326	successfully extracted
88.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
14936	low complexity
188268	match artifacts:
53022	Nextera_701
47	Nextera_702
110	Nextera_703
15	Nextera_704
14	Nextera_705
131495	Nextera_706
5	Nextera_707
19	Nextera_708
5	Nextera_709
2	Nextera_710
22	Nextera_711
11	Nextera_712
10	Nextera_701_Reversed:
1	Nextera_702_Reversed:
2	Nextera_703_Reversed:
12	Nextera_704_Reversed:
1	Nextera_705_Reversed:
261	Nextera_706_Reversed:
1	Nextera_708_Reversed:
4	Nextera_709_Reversed:
1	Nextera_711_Reversed:
2	rRNA_5.8S
244	rRNA_18S
55	rRNA_28S
674	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
1741	HPV18
491	HPV18_as
