../DDBJ/1772-064-103_H06.2.fastq.bz2	Input file name.
04-11-2015; 5:36am	Date and Time
20.000000	selected threshold
1651423	total input reads
1402980	successfully extracted
85.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1996	low complexity
246447	match artifacts:
35868	Nextera_501
12883	Nextera_502
6492	Nextera_503
2	Nextera_504
22	Nextera_505
8	Nextera_506
9	Nextera_507
171734	Nextera_508
31	Nextera_701
1	Nextera_501_Reversed:
1	Nextera_505_Reversed:
1	Nextera_506_Reversed:
2	Nextera_508_Reversed:
1	Nextera_706_Reversed:
4	rRNA_5.8S
244	rRNA_18S
70	rRNA_28S
15808	EC2_RNA_SPIKE_1_(750_bp)
1155	EC15_RNA_SPIKE_4_(1000_bp)
1581	HPV18
530	HPV18_as
