../DDBJ/1772-062-248_C02.2.fastq.bz2	Input file name.
04-10-2015; 4:33pm	Date and Time
20.000000	selected threshold
208525	total input reads
57668	successfully extracted
27.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1907	low complexity
148950	match artifacts:
6342	Nextera_501
1574	Nextera_502
29941	Nextera_503
1	Nextera_504
2	Nextera_505
6	Nextera_506
2	Nextera_507
255	Nextera_508
13	Nextera_701
5	Nextera_503_Reversed:
1	Nextera_505_Reversed:
1	Nextera_506_Reversed:
2	rRNA_18S
1	rRNA_28S
101033	EC2_RNA_SPIKE_1_(750_bp)
8469	EC15_RNA_SPIKE_4_(1000_bp)
1291	EC18_RNA_SPIKE_7_(1474bp)
8	HPV18
3	HPV18_as
